,Household Income,Children,Year Of Residence,Weekly Fee Lower,Weekly Fee Upper,Age,ORANGE,RIVERSIDE,SAN BERNARDINO,Fri-Sun,Mon-Fri,SatSun,Sun-Fri,SunOnly,Thu-Sun,Website,Subscriber
56,200000,False,24,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,True
57,400000,False,20,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,True,True
58,200000,True,13,1.0,4.99,37.0,True,False,False,False,False,True,False,False,False,False,False
59,175000,False,2,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,True,True
60,0,False,16,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
61,175000,True,14,1.0,4.99,52.0,True,False,False,True,False,False,False,False,False,False,False
62,400000,True,13,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
63,125000,True,2,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,True,True
64,200000,False,5,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
65,125000,True,24,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
66,100000,False,22,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,True,False
67,200000,False,3,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,True,False
68,70000,False,17,10.0,10.99,62.0,True,False,False,False,False,False,False,False,False,False,False
69,90000,False,23,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,True
70,150000,True,8,6.0,6.99,37.0,True,False,False,False,False,False,False,False,False,False,False
71,150000,False,15,6.0,6.99,57.0,True,False,False,False,False,False,False,False,False,False,True
72,100000,False,20,6.0,6.99,47.0,True,False,False,False,False,False,False,False,False,False,False
73,175000,False,4,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,True,False
74,175000,True,8,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,False
75,150000,True,3,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,False,False
76,60000,False,4,1.0,4.99,42.0,True,False,False,True,False,False,False,False,False,False,False
77,175000,False,11,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,False,False
78,70000,False,22,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
79,60000,False,2,5.0,5.99,62.0,True,False,False,False,False,False,False,False,False,False,False
80,175000,False,2,5.0,5.99,37.0,True,False,False,False,False,False,False,False,False,False,False
81,175000,False,22,10.0,10.99,52.0,True,False,False,False,False,False,False,False,False,False,False
82,200000,False,7,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,True,False
83,40000,False,4,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,False,False
84,0,False,9,1.0,4.99,32.0,True,False,False,False,False,True,False,False,False,False,False
85,100000,False,2,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,True,False
86,400000,True,19,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,True,False
87,300000,True,15,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,False,False
88,0,False,50,1.0,4.99,62.0,False,False,False,False,False,False,False,False,False,True,False
89,70000,False,14,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
90,175000,False,24,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
91,100000,True,11,9.0,9.99,67.0,True,False,False,False,False,False,False,False,False,False,True
92,50000,False,3,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,False,True
93,500000,False,20,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,False,True
94,40000,False,20,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
95,40000,False,17,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
96,175000,False,7,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,False,False
97,0,False,9,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
98,20000,False,16,1.0,4.99,32.0,True,False,False,False,False,False,False,False,True,False,False
99,100000,True,22,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,False,False
100,50000,False,20,1.0,4.99,72.0,True,False,False,False,False,False,False,False,True,False,True
101,0,False,5,1.0,4.99,22.5,True,False,False,False,False,False,False,False,False,True,False
102,100000,False,2,1.0,4.99,37.0,True,False,False,False,False,False,False,True,False,True,False
103,100000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
104,100000,False,6,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,True,False
105,20000,True,12,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
106,100000,False,23,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
107,40000,False,26,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,False
108,100000,False,14,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
109,70000,False,20,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,True,False
110,50000,True,23,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
111,50000,False,4,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,True,False
112,100000,True,14,1.0,4.99,37.0,True,False,False,False,False,False,False,False,True,True,False
113,0,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,False,True,True,False
114,60000,False,13,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
115,30000,True,24,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
116,0,False,1,1.0,4.99,22.5,True,False,False,False,False,False,False,True,False,True,True
117,50000,False,25,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
118,30000,False,4,1.0,4.99,37.0,True,False,False,False,False,False,False,True,False,False,False
119,0,False,6,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,True,False
120,0,False,2,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
121,50000,False,10,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
122,80000,False,2,1.0,4.99,52.0,False,True,False,False,False,False,False,True,False,False,False
123,100000,True,4,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
124,100000,False,8,1.0,4.99,62.0,False,True,False,False,False,False,False,True,False,False,False
125,0,False,20,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,False,True
126,0,False,16,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
127,0,False,12,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
128,50000,False,1,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
129,80000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
130,40000,False,2,1.0,4.99,22.5,True,False,False,False,False,False,False,False,False,False,False
131,400000,False,38,8.0,8.99,72.0,True,False,False,False,False,False,False,False,False,False,True
132,40000,False,11,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,False,False
133,70000,False,2,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,False,False
134,20000,True,15,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
135,90000,False,18,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,False
136,90000,False,37,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,False
137,125000,False,2,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,True,False
138,0,False,9,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
139,0,False,22,5.0,5.99,80.0,True,False,False,False,False,False,False,False,False,False,False
140,125000,False,17,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,True,False
141,50000,False,8,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,True,False
142,150000,True,18,1.0,4.99,47.0,False,False,False,False,False,False,False,True,False,False,False
143,60000,False,12,1.0,4.99,47.0,False,False,False,False,False,False,False,True,False,False,False
144,80000,False,23,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,False,True
145,100000,False,29,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,False
146,80000,False,38,1.0,4.99,80.0,True,False,False,False,False,True,False,False,False,False,False
147,40000,True,17,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
148,70000,False,20,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
149,20000,False,4,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,True
150,20000,False,1,1.0,4.99,27.0,False,True,False,False,False,False,False,True,False,False,False
151,100000,False,7,10.0,10.99,47.0,True,False,False,False,False,False,False,False,False,False,True
152,0,False,15,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
153,150000,False,9,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
154,125000,True,38,1.0,4.99,72.0,True,False,False,False,False,False,False,False,True,True,True
155,70000,False,5,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,True,False
156,20000,False,30,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,False
157,30000,False,2,1.0,4.99,37.0,True,False,False,False,False,False,False,False,True,True,False
158,0,False,1,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,False,False
159,0,False,20,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,True
160,0,False,1,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
161,40000,True,1,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,False,False
162,30000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
163,20000,False,19,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,True
164,100000,False,24,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
165,100000,False,32,8.0,8.99,80.0,True,False,False,False,False,False,False,False,False,False,True
166,100000,False,1,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,True,False
167,80000,False,13,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
168,200000,True,2,1.0,4.99,37.0,False,True,False,False,False,False,False,True,False,False,False
169,100000,False,3,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,False,False
170,150000,False,23,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
171,20000,False,11,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
172,20000,False,1,1.0,4.99,22.5,True,False,False,False,False,False,False,False,True,False,False
173,30000,False,5,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,True,True
174,90000,True,22,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
175,150000,False,5,8.0,8.99,42.0,True,False,False,False,False,False,False,False,False,True,False
176,200000,False,13,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,False,False
177,90000,True,3,1.0,4.99,42.0,True,False,False,False,False,False,False,False,True,False,False
178,80000,False,12,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
179,20000,False,21,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
180,40000,False,3,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,True,False
181,400000,False,22,6.0,6.99,62.0,True,False,False,False,False,False,False,False,False,False,False
182,300000,False,23,9.0,9.99,67.0,True,False,False,False,False,False,False,False,False,False,False
183,150000,False,10,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
184,40000,True,31,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,True
185,20000,False,27,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,True,False
186,80000,False,31,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,True,True
187,150000,False,1,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
188,125000,False,7,1.0,4.99,32.0,True,False,False,True,False,False,False,False,False,True,False
189,80000,False,19,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,False,False
190,0,False,20,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,False,False
191,0,False,18,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,False,False
192,500000,True,20,1.0,4.99,42.0,True,False,False,False,False,False,False,False,True,False,False
193,90000,False,7,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
194,70000,False,2,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
195,0,False,6,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,True,True
196,90000,False,5,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,True,False
197,30000,False,1,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
198,0,False,8,1.0,4.99,27.0,True,False,False,False,False,False,False,False,False,True,False
199,100000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,False,False
200,0,False,6,1.0,4.99,42.0,False,True,False,False,False,False,False,True,False,False,False
201,30000,False,2,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
202,80000,False,1,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
203,90000,True,17,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
204,100000,False,20,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
205,100000,False,41,10.0,10.99,72.0,True,False,False,False,False,False,False,False,False,False,True
206,100000,False,48,7.0,7.99,80.0,True,False,False,False,False,False,False,False,False,False,True
207,150000,False,37,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,True
208,40000,False,6,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,True,True
209,0,False,1,1.0,4.99,22.5,True,False,False,False,False,False,False,True,False,False,False
210,40000,True,17,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,False,False
211,40000,False,5,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,True,True
212,125000,False,31,10.0,10.99,67.0,True,False,False,False,False,False,False,False,False,False,True
213,175000,False,55,5.0,5.99,80.0,True,False,False,False,False,False,False,False,False,False,True
214,40000,False,10,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,False,False
215,50000,False,7,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,True,False
216,0,False,10,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
217,300000,True,20,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,False,True
218,0,False,10,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
219,40000,False,10,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,False,False
220,80000,False,5,1.0,4.99,32.0,True,False,False,False,False,False,False,False,True,False,False
221,0,False,9,1.0,4.99,42.0,False,True,False,False,False,False,False,True,False,False,False
222,20000,True,21,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,True
223,40000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,True,False
224,40000,False,7,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
225,90000,False,7,1.0,4.99,47.0,False,True,False,False,False,False,False,True,False,False,False
226,30000,False,15,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
227,125000,True,17,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,True
228,30000,True,17,1.0,4.99,47.0,False,True,False,False,False,False,False,True,False,False,False
229,0,False,6,1.0,4.99,32.0,True,False,False,False,False,False,False,False,True,True,False
230,125000,True,12,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,True,False
231,20000,False,6,1.0,4.99,27.0,False,False,False,False,False,False,False,False,False,True,False
232,60000,True,27,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,False
233,40000,True,6,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
234,40000,False,17,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,True,False
235,70000,True,22,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,True,False
236,30000,True,15,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
237,70000,False,15,1.0,4.99,62.0,True,False,False,False,False,False,False,False,True,True,False
238,40000,True,1,1.0,4.99,47.0,False,True,False,False,False,False,False,False,False,True,False
239,20000,False,10,1.0,4.99,22.5,True,False,False,False,False,False,False,False,False,True,False
240,0,True,20,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
241,125000,True,21,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
242,60000,False,1,1.0,4.99,32.0,True,False,False,False,True,False,False,False,False,False,False
243,100000,False,14,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
244,150000,True,12,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,True,False
245,400000,False,38,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,False
246,125000,False,18,5.0,5.99,52.0,True,False,False,False,False,False,False,False,False,False,False
247,0,False,27,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
248,150000,False,18,1.0,4.99,57.0,True,False,False,False,False,False,False,False,True,True,False
249,30000,False,1,6.0,6.99,32.0,True,False,False,False,False,False,False,False,False,False,True
250,20000,False,10,1.0,4.99,42.0,False,False,False,False,False,False,False,True,False,False,False
251,0,True,7,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,True,False
252,90000,False,22,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,False,False
253,60000,False,16,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,True
254,100000,False,23,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,False,True
255,0,False,3,1.0,4.99,27.0,False,False,False,False,False,False,False,False,True,True,False
256,100000,False,6,1.0,4.99,27.0,True,False,False,False,False,False,False,False,False,False,False
257,20000,False,21,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
258,100000,True,19,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
259,100000,False,37,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
260,90000,False,4,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
261,100000,False,40,1.0,4.99,72.0,True,False,False,False,False,False,False,False,False,False,True
262,40000,False,2,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
263,20000,True,6,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,True,False
264,0,False,8,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
265,175000,False,32,1.0,4.99,67.0,True,False,False,False,False,False,False,False,True,True,True
266,100000,False,23,1.0,4.99,72.0,True,False,False,False,False,False,False,False,True,True,False
267,60000,False,22,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,True
268,30000,False,12,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,False
269,70000,False,8,1.0,4.99,57.0,True,False,False,True,False,False,False,False,False,False,False
270,0,False,4,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
271,60000,False,19,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
272,0,False,2,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
273,125000,True,8,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,True,False
274,70000,True,17,1.0,4.99,42.0,True,False,False,False,False,False,False,False,True,True,False
275,90000,False,15,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
276,60000,True,19,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
277,70000,True,16,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,True
278,100000,False,9,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,False,False
279,500000,False,23,5.0,5.99,52.0,True,False,False,False,False,True,False,False,False,False,False
280,300000,True,20,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
281,90000,True,25,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,False
282,50000,False,7,1.0,4.99,67.0,True,False,False,False,False,False,False,False,True,True,False
283,40000,True,13,1.0,4.99,42.0,True,False,False,False,False,False,False,False,False,True,False
284,500000,True,2,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
285,0,False,17,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
286,0,False,17,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,False,False
287,0,False,17,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,False,False
288,0,False,9,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,True,False
289,90000,True,13,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
290,100000,False,8,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,False,False
291,90000,False,30,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
292,60000,False,11,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,False,False
293,0,False,2,1.0,4.99,52.0,True,False,False,False,False,False,False,False,False,True,False
294,20000,False,34,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
295,50000,False,7,1.0,4.99,27.0,True,False,False,False,False,False,False,False,False,False,False
296,0,False,15,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
297,30000,False,9,1.0,4.99,37.0,True,False,False,False,False,False,False,True,False,False,False
298,40000,False,18,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
299,30000,False,22,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,False
300,60000,True,33,1.0,4.99,27.0,True,False,False,False,False,False,False,False,False,False,False
301,100000,False,5,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,True,True
302,20000,False,3,1.0,4.99,37.0,True,False,False,False,False,True,False,False,False,False,False
303,80000,False,8,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
304,50000,False,8,1.0,4.99,47.0,False,False,False,False,False,False,False,False,False,True,False
305,40000,False,32,10.0,10.99,80.0,True,False,False,False,False,False,False,False,False,False,True
306,100000,False,15,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,True,False
307,20000,False,5,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,False,False
308,100000,True,13,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
309,0,False,14,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,False,True
310,60000,True,7,7.0,7.99,62.0,True,False,False,False,False,False,False,False,False,True,False
311,50000,False,5,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
312,70000,False,26,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
313,0,True,10,1.0,4.99,37.0,True,False,False,False,False,False,False,False,False,True,False
314,60000,False,29,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,False,True
315,100000,True,16,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
316,100000,False,43,10.0,10.99,80.0,True,False,False,False,False,False,False,False,False,False,True
317,175000,True,21,1.0,4.99,47.0,True,False,False,False,False,False,False,False,True,True,False
318,125000,False,46,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,True
319,20000,False,1,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
320,175000,False,2,5.0,5.99,52.0,True,False,False,False,False,False,False,False,True,False,False
